id,text,label,tokenized_text
218,force deal retard people everyday,hateful,"['force', 'deal', 'retard', 'people', 'everyday']"
219,itus faggot,hateful,"['itus', 'faggot']"
225,decide race carry caucasoid australoid mongoloid race intermediu,hateful,"['decide', 'race', 'carry', 'caucasoid', 'australoid', 'mongoloid', 'race', 'intermediu']"
238,lol speak hazaramongol people ethnic geneticalu,hateful,"['lol', 'speak', 'hazaramongol', 'people', 'ethnic', 'geneticalu']"
239,coat,hateful,['coat']
246,word retard derogatory sense youure piece shit lol,hateful,"['word', 'retard', 'derogatory', 'sense', 'youure', 'piece', 'shit', 'lol']"
251,chinaman wetback combo,hateful,"['chinaman', 'wetback', 'combo']"
256,retard disturbed lunaticnthrow ocean brick tie ankle nnfood fisu,hateful,"['retard', 'disturbed', 'lunaticnthrow', 'ocean', 'brick', 'tie', 'ankle', 'nnfood', 'fisu']"
261,support sanctuary city criminal illegal alien credibility governor ameri,hateful,"['support', 'sanctuary', 'city', 'criminal', 'illegal', 'alien', 'credibility', 'governor', 'ameri']"
268,justin trudeau promising continue syrian refugee,hateful,"['justin', 'trudeau', 'promising', 'continue', 'syrian', 'refugee']"
272,follow retweet win faggot,hateful,"['follow', 'retweet', 'win', 'faggot']"
285,canut level intelligence semiretard point udeuddudcudffduduufef,hateful,"['canut', 'level', 'intelligence', 'semiretard', 'point']"
286,tweet time awful cunt jussayin,hateful,"['tweet', 'time', 'awful', 'cunt', 'jussayin']"
290,uddudeuddudeuddudeuddudeyouurre retard,hateful,['retard']
292,fox debate foulest shithole btw,hateful,"['fox', 'debate', 'foulest', 'shithole', 'btw']"
293,ugly retard stupid piece shit flame faggot kill,hateful,"['ugly', 'retard', 'stupid', 'piece', 'shit', 'flame', 'faggot', 'kill']"
296,break news dyke drought increase rapidly day suspicious entity read,hateful,"['break', 'news', 'dyke', 'drought', 'increase', 'rapidly', 'day', 'suspicious', 'entity', 'read']"
298,trailer curse llorona wetback spic watch trash,hateful,"['trailer', 'curse', 'llorona', 'wetback', 'spic', 'watch', 'trash']"
302,hate people hate hate fuck retard,hateful,"['hate', 'people', 'hate', 'hate', 'fuck', 'retard']"
304,prove negro,hateful,"['prove', 'negro']"
306,suspicion upstairs chinaman neighbor feign mental illness year ago slam gate goingu,hateful,"['suspicion', 'upstairs', 'chinaman', 'neighbor', 'feign', 'mental', 'illness', 'year', 'ago', 'slam', 'gate', 'goingu']"
310,surprised retard president,hateful,"['surprised', 'retard', 'president']"
318,ninjashyper aka toxic man ching chong bing bong chat,hateful,"['ninjashyper', 'aka', 'toxic', 'man', 'ching', 'chong', 'bing', 'bong', 'chat']"
326,son fuck mongy cunt ming,hateful,"['son', 'fuck', 'mongy', 'cunt', 'ming']"
329,real spic,hateful,"['real', 'spic']"
330,secure border protect citizen illegal alien,hateful,"['secure', 'border', 'protect', 'citizen', 'illegal', 'alien']"
331,captain ium repping ium retard supportthetroops,hateful,"['captain', 'ium', 'repping', 'ium', 'retard']"
338,pretty iphone stand retard,hateful,"['pretty', 'iphone', 'stand', 'retard']"
341,feminazi listen single word pathetic hop,hateful,"['feminazi', 'listen', 'single', 'word', 'pathetic', 'hop']"
343,iull mongy cunt,hateful,"['iull', 'mongy', 'cunt']"
346,big boy carl block saidnterf derogatory term faggot usednhu,hateful,"['big', 'boy', 'carl', 'block', 'saidnterf', 'derogatory', 'term', 'faggot', 'usednhu']"
347,dream faceless trollwhat retard,hateful,"['dream', 'faceless', 'trollwhat', 'retard']"
349,stfu faggot,hateful,"['stfu', 'faggot']"
352,cunt smash phone hand night udeuddudcudffduduufefudeuddudcudffduduufefudeuddudcudffduduufefudeuddudcudffduduufef,hateful,"['cunt', 'smash', 'phone', 'hand', 'night']"
353,fuck faggot,hateful,"['fuck', 'faggot']"
358,cracker daddyncalled cunt pedophile nhe ndie slow fuckin toe rag,hateful,"['cracker', 'daddyncalled', 'cunt', 'pedophile', 'nhe', 'ndie', 'slow', 'fuckin', 'toe', 'rag']"
362,shit realize earlier phrase white fisherprice version word,hateful,"['shit', 'realize', 'earlier', 'phrase', 'white', 'fisherprice', 'version', 'word']"
370,gut stand retard,hateful,"['gut', 'stand', 'retard']"
376,high pitch ching chong,hateful,"['high', 'pitch', 'ching', 'chong']"
378,angry cunt,hateful,"['angry', 'cunt']"
381,camerroonians celebrity uddudeuddudeuddudeuddudeuddude people surely shout wan retardeduddude,hateful,"['camerroonians', 'celebrity', 'people', 'surely', 'shout', 'wan', 'retardeduddude']"
382,hey follower country shithole political sense vote ium high pain killer,hateful,"['hey', 'follower', 'country', 'shithole', 'political', 'sense', 'vote', 'ium', 'high', 'pain', 'killer']"
389,faggot lady fuck youuddudeduddudedudduded,hateful,"['faggot', 'lady', 'fuck']"
397,bombing shoot president mental capacity flea united state real shithole country,hateful,"['bombing', 'shoot', 'president', 'mental', 'capacity', 'flea', 'united', 'state', 'real', 'shithole', 'country']"
398,answer phone faggot fuck,hateful,"['answer', 'phone', 'faggot', 'fuck']"
401,aye offense faggot faggot,hateful,"['aye', 'offense', 'faggot', 'faggot']"
405,stand meanspirited nigger,hateful,"['stand', 'meanspirited', 'nigger']"
416,wouldshould immigrant care chinatown strathcona,hateful,"['wouldshould', 'immigrant', 'care', 'chinatown', 'strathcona']"
417,fuck retard flirt guy girlfriend matu,hateful,"['fuck', 'retard', 'flirt', 'guy', 'girlfriend', 'matu']"
419,retard uddudeuddudeuddudeyou special class floyd,hateful,"['retard', 'special', 'class', 'floyd']"
420,update buck manny machado twat,hateful,"['update', 'buck', 'manny', 'machado', 'twat']"
426,faggot cap uddudcafuddude,hateful,"['faggot', 'cap', 'uddudcafuddude']"
431,mongy humour,hateful,"['mongy', 'humour']"
443,fuck raghead cunt,hateful,"['fuck', 'raghead', 'cunt']"
448,spineless twat criticize country mirgranthoardes woman rap streu,hateful,"['spineless', 'twat', 'criticize', 'country', 'mirgranthoardes', 'woman', 'rap', 'streu']"
451,politically correct mam fuck retard,hateful,"['politically', 'correct', 'mam', 'fuck', 'retard']"
453,ethnic estonian nationalist constitution retard,hateful,"['ethnic', 'estonian', 'nationalist', 'constitution', 'retard']"
455,bts performs kpop songnantis people idolize ching chong group unu,hateful,"['bts', 'performs', 'kpop', 'songnantis', 'people', 'idolize', 'ching', 'chong', 'group', 'unu']"
465,landon romano gayshawnmendes battle title ucworst faggotud,hateful,"['landon', 'romano', 'gayshawnmendes', 'battle', 'title', 'ucworst', 'faggotud']"
470,kick altright retard ball nothn nfree shot,hateful,"['kick', 'altright', 'retard', 'ball', 'nothn', 'nfree', 'shot']"
472,sigh finally ching chong,hateful,"['sigh', 'finally', 'ching', 'chong']"
475,tranquilo mongol ctmre,hateful,"['tranquilo', 'mongol', 'ctmre']"
491,shithole country caravan country,hateful,"['shithole', 'country', 'caravan', 'country']"
492,jesus awful nah read fellaini repping cunt dick love foru,hateful,"['jesus', 'awful', 'nah', 'read', 'fellaini', 'repping', 'cunt', 'dick', 'love', 'foru']"
504,gon steeres mongoloid,hateful,"['gon', 'steeres', 'mongoloid']"
508,lmfaoo lyn luk dyke,hateful,"['lmfaoo', 'lyn', 'luk', 'dyke']"
509,bin tinder fed mongy woman match loose voice uddude,hateful,"['bin', 'tinder', 'fed', 'mongy', 'woman', 'match', 'loose', 'voice', 'uddude']"
511,photo voter suppression basic standard usa shithole country,hateful,"['photo', 'voter', 'suppression', 'basic', 'standard', 'usa', 'shithole', 'country']"
515,wear retard,hateful,"['wear', 'retard']"
522,crazy weure tiny spic dust universe,hateful,"['crazy', 'weure', 'tiny', 'spic', 'dust', 'universe']"
529,big sleepy twat uddudc,hateful,"['big', 'sleepy', 'twat', 'uddudc']"
531,cringe steal people vernacular unoriginal faggot,hateful,"['cringe', 'steal', 'people', 'vernacular', 'unoriginal', 'faggot']"
534,stream men opinion cunt,hateful,"['stream', 'men', 'opinion', 'cunt']"
536,leitung literal fuck retard people follow hate popular thing follow,hateful,"['leitung', 'literal', 'fuck', 'retard', 'people', 'follow', 'hate', 'popular', 'thing', 'follow']"
537,chinaman white smoking,hateful,"['chinaman', 'white', 'smoking']"
550,people ching chong insult asian lmfao yall stupid,hateful,"['people', 'ching', 'chong', 'insult', 'asian', 'lmfao', 'yall', 'stupid']"
553,yeah faggot,hateful,"['yeah', 'faggot']"
554,lanie post single dyke god good ready shitposts hey lanie hope notifs ily,hateful,"['lanie', 'post', 'single', 'dyke', 'god', 'good', 'ready', 'shitposts', 'hey', 'lanie', 'hope', 'notifs', 'ily']"
556,faggot dick hardnyou dance sau,hateful,"['faggot', 'dick', 'hardnyou', 'dance', 'sau']"
558,dirtiest chinaman criminal lee hsien loong incite racial hatred malaysianu,hateful,"['dirtiest', 'chinaman', 'criminal', 'lee', 'hsien', 'loong', 'incite', 'racial', 'hatred', 'malaysianu']"
560,outdated retard gop mentality paranoid idea brainwash citizen visceu,hateful,"['outdated', 'retard', 'gop', 'mentality', 'paranoid', 'idea', 'brainwash', 'citizen', 'visceu']"
566,true christian retard cousin family,hateful,"['true', 'christian', 'retard', 'cousin', 'family']"
570,fuck monster boro fan frighten deffo water inbred smoggy mongy wanker,hateful,"['fuck', 'monster', 'boro', 'fan', 'frighten', 'deffo', 'water', 'inbred', 'smoggy', 'mongy', 'wanker']"
572,steve cunt thehauntingofhillhouse,hateful,"['steve', 'cunt']"
575,fact noneritreans disguise eritrean refugee echo coast coast europe,hateful,"['fact', 'noneritreans', 'disguise', 'eritrean', 'refugee', 'echo', 'coast', 'coast', 'europe']"
587,dogeater ching chong yelle,hateful,"['dogeater', 'ching', 'chong', 'yelle']"
589,jennie anti hacker fat bitter cunt,hateful,"['jennie', 'anti', 'hacker', 'fat', 'bitter', 'cunt']"
592,ubirminghamu accent people associate dudley rest black country shithole west midland giviu,hateful,"['ubirminghamu', 'accent', 'people', 'associate', 'dudley', 'rest', 'black', 'country', 'shithole', 'west', 'midland', 'giviu']"
594,pittsburghshooting guy absolute racist twat deserve airu,hateful,"['guy', 'absolute', 'racist', 'twat', 'deserve', 'airu']"
599,lmaoooo armo spic,hateful,"['lmaoooo', 'armo', 'spic']"
600,mongol,hateful,['mongol']
601,woman support sexual predator power cuntmascots oppression,hateful,"['woman', 'support', 'sexual', 'predator', 'power', 'cuntmascots', 'oppression']"
603,listen asiactic mongol eastern euro trash wouldnnever fau,hateful,"['listen', 'asiactic', 'mongol', 'eastern', 'euro', 'trash', 'wouldnnever', 'fau']"
612,king mongoloid monkey rest,hateful,"['king', 'mongoloid', 'monkey', 'rest']"
623,asian bitch ching chong,hateful,"['asian', 'bitch', 'ching', 'chong']"
628,hate people socialize fuck rude breathing faggot piece shit,hateful,"['hate', 'people', 'socialize', 'fuck', 'rude', 'breathing', 'faggot', 'piece', 'shit']"
633,benitez useless cunt,hateful,"['benitez', 'useless', 'cunt']"
635,shitholethis democratnaziparty,hateful,['shitholethis']
638,banter codeword cunt,hateful,"['banter', 'codeword', 'cunt']"
641,honesty imagine image faggot dumb cuck talk girl youu,hateful,"['honesty', 'imagine', 'image', 'faggot', 'dumb', 'cuck', 'talk', 'girl', 'youu']"
643,spasctic martial changin acownt bercuz sad raghead poof,hateful,"['spasctic', 'martial', 'changin', 'acownt', 'bercuz', 'sad', 'raghead', 'poof']"
645,fuck okacamera fuck retard,hateful,"['fuck', 'okacamera', 'fuck', 'retard']"
647,yall papa john commercial tryna forgot founder nigger,hateful,"['yall', 'papa', 'john', 'commercial', 'tryna', 'forgot', 'founder', 'nigger']"
649,wasnut mongy mel morris sell suppose heus main manu,hateful,"['wasnut', 'mongy', 'mel', 'morris', 'sell', 'suppose', 'heus', 'main', 'manu']"
650,good faggot,hateful,"['good', 'faggot']"
651,tighten immigration lawsprevent immigration shithole country usa whilst hau,hateful,"['tighten', 'immigration', 'lawsprevent', 'immigration', 'shithole', 'country', 'usa', 'whilst', 'hau']"
652,shush nigger,hateful,"['shush', 'nigger']"
653,class mongy cunt decision,hateful,"['class', 'mongy', 'cunt', 'decision']"
658,change shithole country flee mayu,hateful,"['change', 'shithole', 'country', 'flee', 'mayu']"
663,sothe black chinaman,hateful,"['sothe', 'black', 'chinaman']"
667,negro pls negro sry,hateful,"['negro', 'pls', 'negro', 'sry']"
673,fyou dipshit atleast apologizes low esteem cunt younnagain catu,hateful,"['fyou', 'dipshit', 'atleast', 'apologizes', 'low', 'esteem', 'cunt', 'younnagain', 'catu']"
674,stick twat dad responsible violence promotes phony daughter eat bowl dick,hateful,"['stick', 'twat', 'dad', 'responsible', 'violence', 'promotes', 'phony', 'daughter', 'eat', 'bowl', 'dick']"
676,youure faggot ged education helpful iull read quick itus funny,hateful,"['youure', 'faggot', 'ged', 'education', 'helpful', 'iull', 'read', 'quick', 'itus', 'funny']"
686,whous retard kick,hateful,"['whous', 'retard', 'kick']"
691,gttella outta cannyou mongoloid,hateful,"['gttella', 'outta', 'cannyou', 'mongoloid']"
696,retard political goon uddude fake propaganda people reject desperatu,hateful,"['retard', 'political', 'goon', 'uddude', 'fake', 'propaganda', 'people', 'reject', 'desperatu']"
700,hate customer dis talk ching chong,hateful,"['hate', 'customer', 'dis', 'talk', 'ching', 'chong']"
703,scoreboard goddamn retard uddudeuddudeuddude didnut grade math,hateful,"['scoreboard', 'goddamn', 'retard', 'didnut', 'grade', 'math']"
708,true race caucasoid white mongoloid asian negroidblack allu,hateful,"['true', 'race', 'caucasoid', 'white', 'mongoloid', 'asian', 'negroidblack', 'allu']"
709,nice mob angry feminazi democratic woman stand decent conservative,hateful,"['nice', 'mob', 'angry', 'feminazi', 'democratic', 'woman', 'stand', 'decent', 'conservative']"
714,matt dad judgeyou privileged twat,hateful,"['matt', 'dad', 'judgeyou', 'privileged', 'twat']"
716,ching ching chong chong dookie dookie,hateful,"['ching', 'ching', 'chong', 'chong', 'dookie', 'dookie']"
717,fuck nfl fuck usa great hand knock retardimentu,hateful,"['fuck', 'nfl', 'fuck', 'usa', 'great', 'hand', 'knock', 'retardimentu']"
733,twat gon twat udeudd,hateful,"['twat', 'gon', 'twat', 'udeudd']"
736,genuine consensus todayus game fuck smash steven naismithus twat,hateful,"['genuine', 'consensus', 'todayus', 'game', 'fuck', 'smash', 'steven', 'naismithus', 'twat']"
749,dick van dyke thought,hateful,"['dick', 'van', 'dyke', 'thought']"
762,haha ching chong butt hurt baby powder mom,hateful,"['haha', 'ching', 'chong', 'butt', 'hurt', 'baby', 'powder', 'mom']"
772,udduddcuddudcuddudcuddudcuddudcuddudcuddudcn uddudccaccording study huge cunt,hateful,"['study', 'huge', 'cunt']"
776,parasite shithole country stay shithole countriesucufef,hateful,"['parasite', 'shithole', 'country', 'stay', 'shithole', 'countriesucufef']"
778,white people nigger,hateful,"['white', 'people', 'nigger']"
784,floppy eared dog girl ear fall gay retard cancer dog,hateful,"['floppy', 'eared', 'dog', 'girl', 'ear', 'fall', 'gay', 'retard', 'cancer', 'dog']"
786,ium mike gundy ium twat mullet hasnut shit,hateful,"['ium', 'mike', 'gundy', 'ium', 'twat', 'mullet', 'hasnut', 'shit']"
794,mind negro open mind screen door lajshshsnnsnsndndnnxncnxnxnxnx nah birdman mightve point,hateful,"['mind', 'negro', 'open', 'mind', 'screen', 'door', 'nah', 'birdman', 'mightve', 'point']"
797,brexit cunt trick strap vest kid blow,hateful,"['brexit', 'cunt', 'trick', 'strap', 'vest', 'kid', 'blow']"
800,sound shithole country,hateful,"['sound', 'shithole', 'country']"
804,picture ching chong eat dog lmfaoo,hateful,"['picture', 'ching', 'chong', 'eat', 'dog', 'lmfaoo']"
805,female retard nigga doesnut,hateful,"['female', 'retard', 'nigga', 'doesnut']"
811,sebastian stan south cape town attire highly,hateful,"['sebastian', 'stan', 'south', 'cape', 'town', 'attire', 'highly']"
813,clockwork white liberal applaud diplomatic magic negro patience,hateful,"['clockwork', 'white', 'liberal', 'applaud', 'diplomatic', 'magic', 'negro', 'patience']"
814,orthodox spin dull leggie chinaman spinner overrate,hateful,"['orthodox', 'spin', 'dull', 'leggie', 'chinaman', 'spinner', 'overrate']"
815,today sling day life shithole country pgh,hateful,"['today', 'sling', 'day', 'life', 'shithole', 'country', 'pgh']"
823,illegal organ harvest rampant egypt refugee main target egypt middleeast,hateful,"['illegal', 'organ', 'harvest', 'rampant', 'egypt', 'refugee', 'main', 'target', 'egypt', 'middleeast']"
827,shameful mother raise retard,hateful,"['shameful', 'mother', 'raise', 'retard']"
831,sign sexy dreamy cunt,hateful,"['sign', 'sexy', 'dreamy', 'cunt']"
835,surprised party movie kind plot raghead placu,hateful,"['surprised', 'party', 'movie', 'kind', 'plot', 'raghead', 'placu']"
837,shut faggot,hateful,"['shut', 'faggot']"
847,boy child slave unfunny spic beaner titty suck unfunny gook,hateful,"['boy', 'child', 'slave', 'unfunny', 'spic', 'beaner', 'titty', 'suck', 'unfunny', 'gook']"
858,potato potato ching chong tomato,hateful,"['potato', 'potato', 'ching', 'chong', 'tomato']"
872,dirty jew,hateful,"['dirty', 'jew']"
875,mad ching chong dirty cheater defend team,hateful,"['mad', 'ching', 'chong', 'dirty', 'cheater', 'defend', 'team']"
878,bloody great migrant problem rapidly shithole europe countu,hateful,"['bloody', 'great', 'migrant', 'problem', 'rapidly', 'shithole', 'europe', 'countu']"
886,zealot left criminal leftist domesticu,hateful,"['zealot', 'left', 'criminal', 'leftist', 'domesticu']"
895,guyus fuck retard lmfao,hateful,"['guyus', 'fuck', 'retard', 'lmfao']"
896,suspicion upstairs chinaman neighbor feign mental illness year ago slam,hateful,"['suspicion', 'upstairs', 'chinaman', 'neighbor', 'feign', 'mental', 'illness', 'year', 'ago', 'slam']"
898,kpop stans purple dyed hair cosplay today pull eye yell ching chong country,hateful,"['kpop', 'stans', 'purple', 'dyed', 'hair', 'cosplay', 'today', 'pull', 'eye', 'yell', 'ching', 'chong', 'country']"
901,alicen emily amp real life retard udeudd swear funny,hateful,"['alicen', 'emily', 'amp', 'real', 'life', 'retard', 'udeudd', 'swear', 'funny']"
905,hahahahahaha wake miggs fuck retard,hateful,"['hahahahahaha', 'wake', 'miggs', 'fuck', 'retard']"
907,australia european post war refugee logic,hateful,"['australia', 'european', 'post', 'war', 'refugee', 'logic']"
921,mongol mouth,hateful,"['mongol', 'mouth']"
928,dyke sister drag tsr comment,hateful,"['dyke', 'sister', 'drag', 'tsr', 'comment']"
938,spawn dumbass youure retard,hateful,"['spawn', 'dumbass', 'youure', 'retard']"
940,casuallyfantastic realisticrecovery abusive woman bad abusive men shameful,hateful,"['abusive', 'woman', 'bad', 'abusive', 'men', 'shameful']"
943,yakuza taught hate men gon kick shit fucker cunt,hateful,"['yakuza', 'taught', 'hate', 'men', 'gon', 'kick', 'shit', 'fucker', 'cunt']"
946,talk fact retard parent check sanity,hateful,"['talk', 'fact', 'retard', 'parent', 'check', 'sanity']"
959,fuck game gay retard,hateful,"['fuck', 'game', 'gay', 'retard']"
971,lol ching chong guy rich dude suddenly campus,hateful,"['lol', 'ching', 'chong', 'guy', 'rich', 'dude', 'suddenly', 'campus']"
986,spic message friend curious cat gon beat frienu,hateful,"['spic', 'message', 'friend', 'curious', 'cat', 'gon', 'beat', 'frienu']"
999,literal twat hey justify twitter toonthis guy twitchcon tou,hateful,"['literal', 'twat', 'hey', 'justify', 'twitter', 'toonthis', 'guy', 'twitchcon', 'tou']"
1004,retard brain censor,hateful,"['retard', 'brain', 'censor']"
1009,daft lad mongy mate,hateful,"['daft', 'lad', 'mongy', 'mate']"
1012,joo white promotes gtwhitelt supremacy,hateful,"['joo', 'white', 'promotes', 'gtwhitelt', 'supremacy']"
1015,lmfao deserve suppose man toughen nigger,hateful,"['lmfao', 'deserve', 'suppose', 'man', 'toughen', 'nigger']"
1022,shausha mongol,hateful,"['shausha', 'mongol']"
1024,expect expire country nigeria shithole fantastically corrupt biafra natiou,hateful,"['expect', 'expire', 'country', 'nigeria', 'shithole', 'fantastically', 'corrupt', 'biafra', 'natiou']"
1037,spick fuck wetback,hateful,"['spick', 'fuck', 'wetback']"
1044,nigger slave worth code,hateful,"['nigger', 'slave', 'worth', 'code']"
1047,banturds bad mass murderer retardud whitu,hateful,"['banturds', 'bad', 'mass', 'murderer', 'retardud', 'whitu']"
1049,twat sadly sound believably word surelu,hateful,"['twat', 'sadly', 'sound', 'believably', 'word', 'surelu']"
1055,susan uddudcd nand donut forget buy stream mono youure,hateful,"['susan', 'uddudcd', 'nand', 'donut', 'forget', 'buy', 'stream', 'mono', 'youure']"
1061,john flower faggot weighs pound life college dorm refrigerator,hateful,"['john', 'flower', 'faggot', 'weighs', 'pound', 'life', 'college', 'dorm', 'refrigerator']"
1065,trump fuck mongoloid protection fuck synagoguenngo fau,hateful,"['trump', 'fuck', 'mongoloid', 'protection', 'fuck', 'synagoguenngo', 'fau']"
1079,imagine birth nigger,hateful,"['imagine', 'birth', 'nigger']"
1080,attention shithole country nice,hateful,"['attention', 'shithole', 'country', 'nice']"
1082,dear ching chong ling longs expect react rich,hateful,"['dear', 'ching', 'chong', 'ling', 'longs', 'expect', 'react', 'rich']"
1084,nigga half retard god caption ucfruit loopsudn box fruit loop,hateful,"['nigga', 'half', 'retard', 'god', 'caption', 'ucfruit', 'loopsudn', 'box', 'fruit', 'loop']"
1091,god faggot,hateful,"['god', 'faggot']"
1095,literally ding dong ditch year faggot crack jake paul apparel,hateful,"['literally', 'ding', 'dong', 'ditch', 'year', 'faggot', 'crack', 'jake', 'paul', 'apparel']"
1111,scarlett johansson walk faggot walk personal cellu,hateful,"['scarlett', 'johansson', 'walk', 'faggot', 'walk', 'personal', 'cellu']"
1112,blunt cunt rhyme reason bitch,hateful,"['blunt', 'cunt', 'rhyme', 'reason', 'bitch']"
1113,record muslim immigrant shithole country,hateful,"['record', 'muslim', 'immigrant', 'shithole', 'country']"
1119,trump talk shithole country comment uddude,hateful,"['trump', 'talk', 'shithole', 'country', 'comment', 'uddude']"
1123,black metal poetry daynni virgin cunt spawn snakenni witness tribe judah reducu,hateful,"['black', 'metal', 'poetry', 'daynni', 'virgin', 'cunt', 'spawn', 'snakenni', 'witness', 'tribe', 'judah', 'reducu']"
1124,heus maga trump republican moronic twat,hateful,"['heus', 'maga', 'trump', 'republican', 'moronic', 'twat']"
1129,dave robert fucken retard,hateful,"['dave', 'robert', 'fucken', 'retard']"
1136,retard friend real life nice life,hateful,"['retard', 'friend', 'real', 'life', 'nice', 'life']"
